Tagalog Sentence,Tagged Sentence,English Translation,Pronoun Annotation
Si Pedro ay gumagawa ng proyekto. Siya ay matiyaga.,"Si Pedro ay gumagawa ng proyekto. Siya [singular, third-person, gender-specific] ay matiyaga.",Pedro is working on a project. He is diligent.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-iimpake ng kanyang maleta.,"Siya [singular, third-person, gender-neutral] ay nag-iimpake ng kanyang maleta.",They are packing their suitcase.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga ibon ay umaawit sa puno.,"Ang mga ibon [plural, non-human] ay umaawit sa puno.",The birds are singing in the tree.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagsasaing ng kanin.,"Siya [singular, third-person, gender-neutral] ay nagsasaing ng kanin.",They are cooking rice.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaba sa ilog.,"Sila [plural, third-person] ay naglalaba sa ilog.",They are washing clothes in the river.,"Pronoun = ""they,"" plural"
Si Ana ay gumagawa ng suman. Siya ay magaling.,"Si Ana ay gumagawa ng suman. Siya [singular, third-person, gender-specific] ay magaling.",Ana is making suman. She is good.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay naghahanap ng kanyang susi.,"Siya [singular, third-person, gender-neutral] ay naghahanap ng kanyang susi.",They are looking for their key.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagdidisenyo ng logo.,"Sila [plural, third-person] ay nagdidisenyo ng logo.",They are designing a logo.,"Pronoun = ""they,"" plural"
Si Maria ay nagsasaayos ng mga bulaklak. Siya ay malikhain.,"Si Maria ay nagsasaayos ng mga bulaklak. Siya [singular, third-person, gender-specific] ay malikhain.",Maria is arranging flowers. She is creative.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagpapahinga sa ilalim ng payong.,"Siya [singular, third-person, gender-neutral] ay nagpapahinga sa ilalim ng payong.",They are resting under the umbrella.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga aso ay nagtatakbuhan sa dalampasigan.,"Ang mga aso [plural, non-human] ay nagtatakbuhan sa dalampasigan.",The dogs are running on the beach.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpe-petisyon para sa isang layunin.,"Siya [singular, third-person, gender-neutral] ay nagpe-petisyon para sa isang layunin.",They are petitioning for a cause.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtatanim ng rosas.,"Sila [plural, third-person] ay nagtatanim ng rosas.",They are planting roses.,"Pronoun = ""they,"" plural"
Si Pedro ay nagmamasa ng harina. Siya ay masipag.,"Si Pedro ay nagmamasa ng harina. Siya [singular, third-person, gender-specific] ay masipag.",Pedro is kneading dough. He is hardworking.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-aalaga ng matanda.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng matanda.",They are caring for an elderly person.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagdadala ng mga kahon sa opisina.,"Sila [plural, third-person] ay nagdadala ng mga kahon sa opisina.",They are carrying boxes to the office.,"Pronoun = ""they,"" plural"
Si Maria ay naglilinis ng kisame. Siya ay maingat.,"Si Maria ay naglilinis ng kisame. Siya [singular, third-person, gender-specific] ay maingat.",Maria is cleaning the ceiling. She is careful.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nag-aalaga ng mga ibon.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng mga ibon.",They are taking care of birds.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakape sa isang coffee shop.,"Sila [plural, third-person] ay nagkakape sa isang coffee shop.",They are having coffee at a coffee shop.,"Pronoun = ""they,"" plural"
Si Pedro ay gumagawa ng art project. Siya ay malikhain.,"Si Pedro ay gumagawa ng art project. Siya [singular, third-person, gender-specific] ay malikhain.",Pedro is working on an art project. He is creative.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagpapakain ng alagang hayop.,"Siya [singular, third-person, gender-neutral] ay nagpapakain ng alagang hayop.",They are feeding a pet.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga baka ay nagpapahinga sa damuhan.,"Ang mga baka [plural, non-human] ay nagpapahinga sa damuhan.",The cows are resting on the grass.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpi-picture ng tanawin.,"Siya [singular, third-person, gender-neutral] ay nagpi-picture ng tanawin.",They are taking a picture of the scenery.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagluluto ng barbecue sa hardin.,"Sila [plural, third-person] ay nagluluto ng barbecue sa hardin.",They are grilling barbecue in the garden.,"Pronoun = ""they,"" plural"
Si Pedro ay nagwawalis ng garahe. Siya ay maingat.,"Si Pedro ay nagwawalis ng garahe. Siya [singular, third-person, gender-specific] ay maingat.",Pedro is sweeping the garage. He is careful.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-aayos ng kurtina sa bintana.,"Siya [singular, third-person, gender-neutral] ay nag-aayos ng kurtina sa bintana.",They are fixing the curtains on the window.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga kalapati ay naghahanap ng pugad.,"Ang mga kalapati [plural, non-human] ay naghahanap ng pugad.",The pigeons are looking for a nest.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagsusulat ng journal sa gabi.,"Siya [singular, third-person, gender-neutral] ay nagsusulat ng journal sa gabi.",They are writing in a journal at night.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-eensayo para sa paligsahan ng drama.,"Sila [plural, third-person] ay nag-eensayo para sa paligsahan ng drama.",They are rehearsing for the drama competition.,"Pronoun = ""they,"" plural"
Si Maria ay nagpapakain ng alagang pusa. Siya ay mapagmahal.,"Si Maria ay nagpapakain ng alagang pusa. Siya [singular, third-person, gender-specific] ay mapagmahal.",Maria is feeding her pet cat. She is caring.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagluluto ng sopas para sa pamilya.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng sopas para sa pamilya.",They are cooking soup for the family.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagdidisplay ng mga litrato sa opisina.,"Sila [plural, third-person] ay nagdidisplay ng mga litrato sa opisina.",They are displaying photos in the office.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-aalaga ng kambing. Siya ay matiyaga.,"Si Pedro ay nag-aalaga ng kambing. Siya [singular, third-person, gender-specific] ay matiyaga.",Pedro is taking care of goats. He is diligent.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagpe-pedicure sa bahay.,"Siya [singular, third-person, gender-neutral] ay nagpe-pedicure sa bahay.",They are doing a pedicure at home.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay naglalaro ng taguan sa bakuran.,"Ang mga bata [plural, third-person] ay naglalaro ng taguan sa bakuran.",The children are playing hide-and-seek in the yard.,"Pronoun = ""they,"" plural"
Siya ay nagbabasa ng manual ng makina.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng manual ng makina.",They are reading the machine manual.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbabalot ng pagkain para sa picnic.,"Sila [plural, third-person] ay nagbabalot ng pagkain para sa picnic.",They are packing food for the picnic.,"Pronoun = ""they,"" plural"
Si Ana ay gumagawa ng scrapbooking. Siya ay malikhain.,"Si Ana ay gumagawa ng scrapbooking. Siya [singular, third-person, gender-specific] ay malikhain.",Ana is making a scrapbook. She is creative.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagpaplano ng menu para sa party.,"Siya [singular, third-person, gender-neutral] ay nagpaplano ng menu para sa party.",They are planning the menu for the party.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga aso ay nagpapahinga sa ilalim ng puno.,"Ang mga aso [plural, non-human] ay nagpapahinga sa ilalim ng puno.",The dogs are resting under the tree.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagtutupi ng damit.,"Siya [singular, third-person, gender-neutral] ay nagtutupi ng damit.",They are folding clothes.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-oorganisa ng volunteer group.,"Sila [plural, third-person] ay nag-oorganisa ng volunteer group.",They are organizing a volunteer group.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-eensayo ng pagkanta. Siya ay masigla.,"Si Pedro ay nag-eensayo ng pagkanta. Siya [singular, third-person, gender-specific] ay masigla.",Pedro is practicing singing. He is lively.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay naglilinis ng sapatos sa garahe.,"Siya [singular, third-person, gender-neutral] ay naglilinis ng sapatos sa garahe.",They are cleaning shoes in the garage.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga kalabaw ay nagtatrabaho sa palayan.,"Ang mga kalabaw [plural, non-human] ay nagtatrabaho sa palayan.",The water buffaloes are working in the rice field.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpapractice ng yoga sa umaga.,"Siya [singular, third-person, gender-neutral] ay nagpapractice ng yoga sa umaga.",They are practicing yoga in the morning.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naghahanap ng donasyon para sa charity.,"Sila [plural, third-person] ay naghahanap ng donasyon para sa charity.",They are seeking donations for charity.,"Pronoun = ""they,"" plural"
Si Maria ay nagluluto ng puto. Siya ay magaling.,"Si Maria ay nagluluto ng puto. Siya [singular, third-person, gender-specific] ay magaling.",Maria is cooking rice cakes. She is good.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nag-eensayo para sa paligsahan ng pagkanta.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo para sa paligsahan ng pagkanta.",They are rehearsing for the singing competition.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakape sa veranda ng bahay.,"Sila [plural, third-person] ay nagkakape sa veranda ng bahay.",They are having coffee on the veranda.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-aalaga ng mga kalapati. Siya ay maingat.,"Si Pedro ay nag-aalaga ng mga kalapati. Siya [singular, third-person, gender-specific] ay maingat.",Pedro is taking care of pigeons. He is careful.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay naglilinis ng kanyang kwarto.,"Siya [singular, third-person, gender-neutral] ay naglilinis ng kanyang kwarto.",They are cleaning their room.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng volleyball sa tabing-dagat.,"Sila [plural, third-person] ay naglalaro ng volleyball sa tabing-dagat.",They are playing volleyball at the beach.,"Pronoun = ""they,"" plural"
Si Maria ay nagbabalot ng regalo. Siya ay malikhain.,"Si Maria ay nagbabalot ng regalo. Siya [singular, third-person, gender-specific] ay malikhain.",Maria is wrapping a gift. She is creative.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagluluto ng lugaw sa kusina.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng lugaw sa kusina.",They are cooking porridge in the kitchen.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay nagbabasa ng kwento.,"Ang mga bata [plural, third-person] ay nagbabasa ng kwento.",The children are reading a story.,"Pronoun = ""they,"" plural"
Siya ay nag-aayos ng mga libro sa library.,"Siya [singular, third-person, gender-neutral] ay nag-aayos ng mga libro sa library.",They are organizing books in the library.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtatanim ng mga gulay sa bakuran.,"Sila [plural, third-person] ay nagtatanim ng mga gulay sa bakuran.",They are planting vegetables in the yard.,"Pronoun = ""they,"" plural"
Si Pedro ay nagpi-pintura ng portrait. Siya ay magaling.,"Si Pedro ay nagpi-pintura ng portrait. Siya [singular, third-person, gender-specific] ay magaling.",Pedro is painting a portrait. He is talented.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-iigib ng tubig mula sa balon.,"Siya [singular, third-person, gender-neutral] ay nag-iigib ng tubig mula sa balon.",They are fetching water from the well.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga ibon ay lumilipad sa kalangitan.,"Ang mga ibon [plural, non-human] ay lumilipad sa kalangitan.",The birds are flying in the sky.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagbibilang ng pera sa mesa.,"Siya [singular, third-person, gender-neutral] ay nagbibilang ng pera sa mesa.",They are counting money on the table.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagwawalis sa harap ng bahay.,"Sila [plural, third-person] ay nagwawalis sa harap ng bahay.",They are sweeping in front of the house.,"Pronoun = ""they,"" plural"
Si Ana ay gumagawa ng project sa school. Siya ay masipag.,"Si Ana ay gumagawa ng project sa school. Siya [singular, third-person, gender-specific] ay masipag.",Ana is working on a school project. She is diligent.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagtatabas ng damo sa bakuran.,"Siya [singular, third-person, gender-neutral] ay nagtatabas ng damo sa bakuran.",They are cutting grass in the yard.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga pusa ay naghaharutan sa sala.,"Ang mga pusa [plural, non-human] ay naghaharutan sa sala.",The cats are playing in the living room.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpipinta ng tanawin sa canvas.,"Siya [singular, third-person, gender-neutral] ay nagpipinta ng tanawin sa canvas.",They are painting a landscape on a canvas.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbabakasyon sa isang resort.,"Sila [plural, third-person] ay nagbabakasyon sa isang resort.",They are vacationing at a resort.,"Pronoun = ""they,"" plural"
Si Pedro ay naghuhugas ng pinggan. Siya ay maingat.,"Si Pedro ay naghuhugas ng pinggan. Siya [singular, third-person, gender-specific] ay maingat.",Pedro is washing dishes. He is careful.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagsusulat ng liham para sa kaibigan.,"Siya [singular, third-person, gender-neutral] ay nagsusulat ng liham para sa kaibigan.",They are writing a letter for a friend.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga baka ay kumakain ng damo.,"Ang mga baka [plural, non-human] ay kumakain ng damo.",The cows are eating grass.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-aalaga ng matanda sa bahay.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng matanda sa bahay.",They are taking care of an elderly person at home.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbubuo ng mga bagong plano.,"Sila [plural, third-person] ay nagbubuo ng mga bagong plano.",They are making new plans.,"Pronoun = ""they,"" plural"
Si Maria ay nagpaplano ng sorpresa. Siya ay masaya.,"Si Maria ay nagpaplano ng sorpresa. Siya [singular, third-person, gender-specific] ay masaya.",Maria is planning a surprise. She is happy.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nag-eensayo ng kanyang violin.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo ng kanyang violin.",They are practicing their violin.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay gumagawa ng crafts.,"Ang mga bata [plural, third-person] ay gumagawa ng crafts.",The children are making crafts.,"Pronoun = ""they,"" plural"
Siya ay nag-eensayo para sa recital.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo para sa recital.",They are rehearsing for the recital.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtitinda ng mga prutas sa palengke.,"Sila [plural, third-person] ay nagtitinda ng mga prutas sa palengke.",They are selling fruits at the market.,"Pronoun = ""they,"" plural"
Si Pedro ay nagpapakain ng mga isda. Siya ay masipag.,"Si Pedro ay nagpapakain ng mga isda. Siya [singular, third-person, gender-specific] ay masipag.",Pedro is feeding fish. He is hardworking.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagdidiwang ng kaarawan sa bahay.,"Siya [singular, third-person, gender-neutral] ay nagdidiwang ng kaarawan sa bahay.",They are celebrating a birthday at home.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay gumagawa ng mga dekorasyon para sa fiesta.,"Sila [plural, third-person] ay gumagawa ng mga dekorasyon para sa fiesta.",They are making decorations for the festival.,"Pronoun = ""they,"" plural"
Siya ay naglalaba ng damit sa likod-bahay.,"Siya [singular, third-person, gender-neutral] ay naglalaba ng damit sa likod-bahay.",They are washing clothes in the backyard.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng soccer sa playground.,"Sila [plural, third-person] ay naglalaro ng soccer sa playground.",They are playing soccer in the playground.,"Pronoun = ""they,"" plural"
Si Maria ay nagbubuhos ng tubig sa halaman. Siya ay masipag.,"Si Maria ay nagbubuhos ng tubig sa halaman. Siya [singular, third-person, gender-specific] ay masipag.",Maria is watering the plants. She is hardworking.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagluluto ng pancit para sa hapunan.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng pancit para sa hapunan.",They are cooking pancit for dinner.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay gumagawa ng kanilang assignment.,"Ang mga bata [plural, third-person] ay gumagawa ng kanilang assignment.",The children are doing their assignment.,"Pronoun = ""they,"" plural"
Siya ay nagbabasa ng nobela sa kanyang kama.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng nobela sa kanyang kama.",They are reading a novel in their bed.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtutulungan sa pag-aayos ng event.,"Sila [plural, third-person] ay nagtutulungan sa pag-aayos ng event.",They are working together to organize the event.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-aalaga ng manok. Siya ay maingat.,"Si Pedro ay nag-aalaga ng manok. Siya [singular, third-person, gender-specific] ay maingat.",Pedro is taking care of chickens. He is careful.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagpipinta ng dingding sa garahe.,"Siya [singular, third-person, gender-neutral] ay nagpipinta ng dingding sa garahe.",They are painting the wall in the garage.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga aso ay naglalaro sa parke.,"Ang mga aso [plural, non-human] ay naglalaro sa parke.",The dogs are playing in the park.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpapahinga sa kanyang upuan.,"Siya [singular, third-person, gender-neutral] ay nagpapahinga sa kanyang upuan.",They are resting on their chair.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagkakape sa tabi ng dagat.,"Sila [plural, third-person] ay nagkakape sa tabi ng dagat.",They are having coffee by the sea.,"Pronoun = ""they,"" plural"
Si Ana ay nagtitinda ng kakanin sa bayan. Siya ay masigla.,"Si Ana ay nagtitinda ng kakanin sa bayan. Siya [singular, third-person, gender-specific] ay masigla.",Ana is selling snacks in town. She is energetic.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nag-aayos ng bulaklak sa plorera.,"Siya [singular, third-person, gender-neutral] ay nag-aayos ng bulaklak sa plorera.",They are arranging flowers in the vase.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga ibon ay nagkakanta sa umaga.,"Ang mga ibon [plural, non-human] ay nagkakanta sa umaga.",The birds are singing in the morning.,"Pronoun = ""they,"" plural, non-human"
Siya ay naglilinis ng sahig gamit ang mop.,"Siya [singular, third-person, gender-neutral] ay naglilinis ng sahig gamit ang mop.",They are mopping the floor.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtatanim ng puno sa kabundukan.,"Sila [plural, third-person] ay nagtatanim ng puno sa kabundukan.",They are planting trees in the mountains.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-eensayo ng gitara. Siya ay magaling.,"Si Pedro ay nag-eensayo ng gitara. Siya [singular, third-person, gender-specific] ay magaling.",Pedro is practicing the guitar. He is talented.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nagpapakain ng mga kalapati.,"Siya [singular, third-person, gender-neutral] ay nagpapakain ng mga kalapati.",They are feeding pigeons.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga pusa ay naghaharutan sa mesa.,"Ang mga pusa [plural, non-human] ay naghaharutan sa mesa.",The cats are playing on the table.,"Pronoun = ""they,"" plural, non-human"
Siya ay gumagawa ng crafts sa kanyang kwarto.,"Siya [singular, third-person, gender-neutral] ay gumagawa ng crafts sa kanyang kwarto.",They are making crafts in their room.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagre-repair ng sirang kotse.,"Sila [plural, third-person] ay nagre-repair ng sirang kotse.",They are repairing a broken car.,"Pronoun = ""they,"" plural"
Si Maria ay nagpipinta ng larawan. Siya ay malikhain.,"Si Maria ay nagpipinta ng larawan. Siya [singular, third-person, gender-specific] ay malikhain.",Maria is painting a picture. She is creative.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagbabasa ng mga balita sa telepono.,"Siya [singular, third-person, gender-neutral] ay nagbabasa ng mga balita sa telepono.",They are reading news on their phone.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay nagtatakbuhan sa kalye.,"Ang mga bata [plural, third-person] ay nagtatakbuhan sa kalye.",The children are running in the street.,"Pronoun = ""they,"" plural"
Siya ay nagluluto ng spaghetti para sa pamilya.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng spaghetti para sa pamilya.",They are cooking spaghetti for the family.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naghahanda ng pagkain para sa fiesta.,"Sila [plural, third-person] ay naghahanda ng pagkain para sa fiesta.",They are preparing food for the festival.,"Pronoun = ""they,"" plural"
Si Pedro ay nagwawalis sa patio. Siya ay masipag.,"Si Pedro ay nagwawalis sa patio. Siya [singular, third-person, gender-specific] ay masipag.",Pedro is sweeping the patio. He is hardworking.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-eensayo ng yoga sa umaga.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo ng yoga sa umaga.",They are practicing yoga in the morning.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga aso ay nagtatakbuhan sa dalampasigan.,"Ang mga aso [plural, non-human] ay nagtatakbuhan sa dalampasigan.",The dogs are running on the beach.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpaplano ng bakasyon kasama ang pamilya.,"Siya [singular, third-person, gender-neutral] ay nagpaplano ng bakasyon kasama ang pamilya.",They are planning a vacation with their family.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagtatayo ng tent sa kagubatan.,"Sila [plural, third-person] ay nagtatayo ng tent sa kagubatan.",They are setting up a tent in the forest.,"Pronoun = ""they,"" plural"
Si Maria ay nag-aalaga ng bagong halaman. Siya ay mahilig sa gardening.,"Si Maria ay nag-aalaga ng bagong halaman. Siya [singular, third-person, gender-specific] ay mahilig sa gardening.",Maria is taking care of a new plant. She loves gardening.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagbabalot ng kendi para sa mga bata.,"Siya [singular, third-person, gender-neutral] ay nagbabalot ng kendi para sa mga bata.",They are wrapping candies for the children.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga kalabaw ay nagpapahinga sa bukid.,"Ang mga kalabaw [plural, non-human] ay nagpapahinga sa bukid.",The water buffaloes are resting in the field.,"Pronoun = ""they,"" plural, non-human"
Siya ay naghahanap ng librong babasahin.,"Siya [singular, third-person, gender-neutral] ay naghahanap ng librong babasahin.",They are looking for a book to read.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay gumagawa ng mga crafts para sa proyekto.,"Sila [plural, third-person] ay gumagawa ng mga crafts para sa proyekto.",They are making crafts for the project.,"Pronoun = ""they,"" plural"
Si Pedro ay nagbabasa ng encyclopedia. Siya ay matalino.,"Si Pedro ay nagbabasa ng encyclopedia. Siya [singular, third-person, gender-specific] ay matalino.",Pedro is reading an encyclopedia. He is intelligent.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-aayos ng kanyang closet.,"Siya [singular, third-person, gender-neutral] ay nag-aayos ng kanyang closet.",They are organizing their closet.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga pusa ay natutulog sa ilalim ng mesa.,"Ang mga pusa [plural, non-human] ay natutulog sa ilalim ng mesa.",The cats are sleeping under the table.,"Pronoun = ""they,"" plural, non-human"
Siya ay nag-eensayo ng bagong kanta.,"Siya [singular, third-person, gender-neutral] ay nag-eensayo ng bagong kanta.",They are practicing a new song.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglilinis ng hardin tuwing umaga.,"Sila [plural, third-person] ay naglilinis ng hardin tuwing umaga.",They are cleaning the garden every morning.,"Pronoun = ""they,"" plural"
Si Maria ay nagluluto ng dessert. Siya ay mahilig magluto.,"Si Maria ay nagluluto ng dessert. Siya [singular, third-person, gender-specific] ay mahilig magluto.",Maria is cooking dessert. She loves cooking.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagsasampay ng mga damit sa labas.,"Siya [singular, third-person, gender-neutral] ay nagsasampay ng mga damit sa labas.",They are hanging clothes outside.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay naglalaro ng taguan.,"Ang mga bata [plural, third-person] ay naglalaro ng taguan.",The children are playing hide and seek.,"Pronoun = ""they,"" plural"
Siya ay nagsusulat ng maikling kwento sa notebook.,"Siya [singular, third-person, gender-neutral] ay nagsusulat ng maikling kwento sa notebook.",They are writing a short story in their notebook.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nag-aayos ng mesa bago kumain.,"Sila [plural, third-person] ay nag-aayos ng mesa bago kumain.",They are setting the table before eating.,"Pronoun = ""they,"" plural"
Si Pedro ay nag-eensayo para sa concert. Siya ay masipag.,"Si Pedro ay nag-eensayo para sa concert. Siya [singular, third-person, gender-specific] ay masipag.",Pedro is rehearsing for the concert. He is hardworking.,"Pronoun = ""he,"" singular, gender-specific"
Siya ay nag-aalaga ng mga aso.,"Siya [singular, third-person, gender-neutral] ay nag-aalaga ng mga aso.",They are taking care of dogs.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga manok ay kumakain sa kanilang kulungan.,"Ang mga manok [plural, non-human] ay kumakain sa kanilang kulungan.",The chickens are eating in their coop.,"Pronoun = ""they,"" plural, non-human"
Siya ay naghuhugas ng mga gulay sa lababo.,"Siya [singular, third-person, gender-neutral] ay naghuhugas ng mga gulay sa lababo.",They are washing vegetables in the sink.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay nagbabakasyon sa probinsya tuwing tag-init.,"Sila [plural, third-person] ay nagbabakasyon sa probinsya tuwing tag-init.",They vacation in the province every summer.,"Pronoun = ""they,"" plural"
Si Maria ay nag-eensayo ng piano. Siya ay masigasig.,"Si Maria ay nag-eensayo ng piano. Siya [singular, third-person, gender-specific] ay masigasig.",Maria is practicing piano. She is dedicated.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay naglalakad papunta sa simbahan.,"Siya [singular, third-person, gender-neutral] ay naglalakad papunta sa simbahan.",They are walking to the church.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga baka ay nagpapahinga sa damuhan.,"Ang mga baka [plural, non-human] ay nagpapahinga sa damuhan.",The cows are resting in the grass.,"Pronoun = ""they,"" plural, non-human"
Siya ay nagpi-piano sa sala.,"Siya [singular, third-person, gender-neutral] ay nagpi-piano sa sala.",They are playing the piano in the living room.,"Pronoun = ""they,"" singular, gender-neutral"
Sila ay naglalaro ng board games sa hapag-kainan.,"Sila [plural, third-person] ay naglalaro ng board games sa hapag-kainan.",They are playing board games at the dining table.,"Pronoun = ""they,"" plural"
Si Maria ay naghuhugas ng kotse. Siya ay masipag.,"Si Maria ay naghuhugas ng kotse. Siya [singular, third-person, gender-specific] ay masipag.",Maria is washing the car. She is hardworking.,"Pronoun = ""she,"" singular, gender-specific"
Siya ay nagluluto ng sinigang para sa tanghalian.,"Siya [singular, third-person, gender-neutral] ay nagluluto ng sinigang para sa tanghalian.",They are cooking sinigang for lunch.,"Pronoun = ""they,"" singular, gender-neutral"
Ang mga bata ay nag-aayos ng kanilang kwarto.,"Ang mga bata [plural, third-person] ay nag-aayos ng kanilang kwarto.",The children are tidying up their room.,"Pronoun = ""they,"" plural"
